CAS,SMILES,Experimental value
75-85-4,OC(C)(C)CC,0.89
75-87-6,O=CC(Cl)(Cl)Cl,0.99
75-89-8,FC(F)(F)CO,0.41
75-97-8,O=C(C)C(C)(C)C,1.2
75-98-9,O=C(O)C(C)(C)C,1.48
76-01-7,C(C(Cl)(Cl)Cl)(Cl)Cl,3.22
76-03-9,O=C(O)C(Cl)(Cl)Cl,1.33
76-06-2,O=[N+]([O-])C(Cl)(Cl)Cl,2.09
76-13-1,FC(F)(C(F)(Cl)Cl)Cl,3.16
76-14-2,FC(F)(C(F)(F)Cl)Cl,2.82
76-16-4,FC(F)(F)C(F)(F)F,2
76-22-2,O=C1CC2CCC1(C)C2(C)(C),2.56
76-25-5,O=C1C=CC4(C(=C1)CCC3C5CC2OC(OC2(C(=O)CO)C5(C)(CC(O)C34(F)))(C)C)(C),2.53
76-38-0,FC(F)(OC)C(Cl)Cl,2.21
76-41-5,O=C1CCC5(O)(C4N(C)CCC25(c3c(OC12)c(O)ccc3C4)),0.83
76-43-7,O=C3C=C2CCC1C4CCC(O)(C)C4(C)(CC(O)C1(F)C2(C)CC3),2.38
76-44-8,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,6.1
76-57-3,OC1C=CC5C4N(C)CCC25(c3c(OC12)c(OC)ccc3C4),1.19
76-68-6,O=C1NC(=O)C(C(=O)N1)(CC=C)C2C=CCC2,1.51
76-73-3,O=C1NC(=O)C(C(=O)N1)(CC=C)C(C)CCC,1.97
76-74-4,O=C1NC(=O)C(C(=O)N1)(CC)C(C)CCC,2.1
76-75-5,O=C1NC(NC(=O)C1(CC)C(C)CCC)=S,2.85
76-76-6,O=C1NC(=O)C(C(=O)N1)(CC)C(C)C,0.97
76-83-5,c1ccc(cc1)C(c2ccccc2)(c3ccccc3)Cl,5.25
76-84-6,OC(c1ccccc1)(c2ccccc2)c3ccccc3,3.68
76-87-9,O[Sn](c1ccccc1)(c2ccccc2)c3ccccc3,3.53
76-93-7,O=C(O)C(O)(c1ccccc1)c2ccccc2,2.3
76-94-8,O=C2NC(=O)C(c1ccccc1)(C(=O)N2)C,0.91
76-99-3,O=C(CC)C(c1ccccc1)(c2ccccc2)CC(N(C)C)C,3.93
77-02-1,O=C1NC(=O)C(C(=O)N1)(CC=C)C(C)C,1.15
77-06-5,O=C(O)C4C2C1(OC(=O)C2(C)(C(O)C=C1))C5CCC3(O)(C(=C)CC45(C3)),0.24
77-07-6,Oc1ccc2c(c1)C34(CCN(C)C(C2)C4(CCCC3)),3.11
77-20-3,O=C(OC2(c1ccccc1)(CCN(C)CC2(C)))CC,2.83
77-21-4,O=C2NC(=O)C(c1ccccc1)(CC)CC2,1.9
77-27-0,O=C1NC(NC(=O)C1(CC=C)C(C)CCC)=S,3.23
77-28-1,O=C1NC(=O)C(C(=O)N1)(CC)CCCC,1.73
77-30-5,O=C1NC(=O)C(C(=O)N1)(CC)CCCCCC,2.46
77-32-7,O=C1NC(NC(=O)C1(CC)CC)=S,1.5
77-36-1,O=C2NC(O)(c1ccc(c(c1)S(=O)(=O)N)Cl)c3ccccc23,0.85
77-47-4,C=1(C(=C(C(C=1Cl)(Cl)Cl)Cl)Cl)Cl,5.04
77-65-6,O=C(N)NC(=O)C(CC)(CC)Br,1.54
77-67-8,O=C1NC(=O)C(C)(C1)CC,0.38
77-71-4,O=C1NC(=O)C(N1)(C)C,-0.48
77-81-6,N#CP(=O)(OCC)N(C)C,0.38
77-92-9,O=C(O)CC(O)(C(=O)O)CC(=O)O,-1.64
77-99-6,OCC(CO)(CO)CC,-1.48
78-00-2,CC[Pb](CC)(CC)CC,4.15
78-27-3,C#CC1(O)(CCCCC1),1.73
78-38-6,O=P(OCC)(OCC)CC,0.66
78-40-0,O=P(OCC)(OCC)OCC,0.8
78-48-8,O=P(SCCCC)(SCCCC)SCCCC,5.7
78-51-3,O=P(OCCOCCCC)(OCCOCCCC)OCCOCCCC,3.75
78-59-1,O=C1C=C(C)CC(C)(C)C1,1.7
78-62-6,O(CC)[Si](OCC)(C)C,0.61
78-67-1,N#CC(N=NC(C#N)(C)C)(C)C,1.1
78-70-6,OC(C=C)(C)CCC=C(C)C,2.97
78-79-5,C=CC(=C)C,2.42
78-81-9,NCC(C)C,0.73
78-82-0,N#CC(C)C,0.46
78-87-5,CC(CCl)Cl,1.98
78-93-3,O=C(C)CC,0.29
78-96-6,OC(C)CN,-0.96
79-00-5,C(C(Cl)Cl)Cl,1.89
79-01-6,C(=C(Cl)Cl)Cl,2.42
79-05-0,O=C(N)CC,-0.66
79-06-1,O=C(N)C=C,-0.67
79-07-2,O=C(N)CCl,-0.53
79-08-3,O=C(O)CBr,0.41
79-09-4,O=C(O)CC,0.33
79-10-7,O=C(O)C=C,0.35
